Borough,ClosureType,EditDate,FeatureType,PropID,PropName,PropNum,SiteName,Status,point,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
X,,04/09/2020 03:24:38 PM,Exercise Equipment,X118-ZN03,Soundview Park,X118,Soundview Park Zone 3,Active,POINT (-73.87305103232546 40.818286496286895),"11,611",58,5,31,26
Q,Temporary Fencing,04/11/2020 05:57:18 PM,Exercise Equipment,Q410,Hinton Park,Q410,Hinton Park,COVID-19 Closure,POINT (-73.85494271577642 40.75601123478801),"14,510",65,3,21,73
X,Completely Locked,04/10/2020 08:42:34 AM,Exercise Equipment,X206,Morgan Playground,X206,Morgan Playground,COVID-19 Closure,POINT (-73.90743530814089 40.83227429519592),"10,934",34,5,42,25
R,,04/09/2020 03:20:54 PM,Exercise Equipment,R109-01,CPL. Thompson Park,R109,Corporal Thompson Playground,Active,POINT (-74.11803173698999 40.63892148395194),"10,697",4,1,13,74
M,,04/09/2020 03:22:58 PM,Exercise Equipment,M042-ZN04,Inwood Hill Park,M042,Inwood Hill Park Zone 4 (Dyckman Fields),Active,POINT (-73.9302748808981 40.87284181527521),"13,092",47,4,39,22
X,,04/09/2020 03:24:38 PM,Exercise Equipment,X002-ZN03,Bronx Park,X002,Bronx Park Zone 3,Active,POINT (-73.87119701199138 40.87040913182152),"11,607",28,5,22,30
B,Blocked with Barricade,04/10/2020 05:02:28 PM,Exercise Equipment,B219,Callahan-Kelly Playground,B219,Callahan-Kelly Playground,COVID-19 Closure,POINT (-73.90531416915717 40.678359753394396),"13,516",55,2,37,46
Q,Completely Locked,04/11/2020 05:46:30 PM,Exercise Equipment,Q205A,Big Bush Playground,Q205A,Big Bush Playground,COVID-19 Closure,POINT (-73.90262797225797 40.7396080387653),"14,787",53,3,33,66
B,,04/09/2020 03:15:34 PM,Exercise Equipment,B316,DiGilio Playground,B316,DiGilio Playground,Active,POINT (-73.9771308362306 40.632628660086475),"17,620",60,2,18,43
B,,04/09/2020 03:15:34 PM,Exercise Equipment,B162,Brizzi Playground,B162,Brizzi Playground,Active,POINT (-73.99464872731261 40.64241752988835),"17,621",2,2,27,39
B,Completely Locked,04/10/2020 12:01:46 PM,Exercise Equipment,B263,Sumner Playground,B263,Sumner Playground,COVID-19 Closure,POINT (-73.94275920794006 40.69727573052556),"17,213",69,2,49,51
Q,Temporary Fencing,04/11/2020 07:21:56 PM,Exercise Equipment,Q021-03,Cunningham Park,Q021,210 St Playground,COVID-19 Closure,POINT (-73.76533876072492 40.73925387400779),"14,506",25,3,16,65
B,,04/09/2020 03:15:34 PM,Exercise Equipment,B025,Cooper Park,B025,Cooper Park,Active,POINT (-73.93724000264929 40.71585257942295),"17,613",36,2,30,56
Q,Temporary Fencing,04/11/2020 07:27:03 PM,Exercise Equipment,Q300-05,Kissena Corridor Park,Q300,Rachel Carson Playground,COVID-19 Closure,POINT (-73.82235858041797 40.749125525041045),"14,190",22,3,3,67
Q,,04/13/2020 09:15:26 AM,Exercise Equipment,Q361,Moore Homestead Playground,Q361,Moore Homestead Playground,Active,POINT (-73.88239704521078 40.742141940089475),"14,784",66,3,5,68
X,Completely Locked,04/10/2020 02:14:10 PM,Exercise Equipment,X257,Mount Hope Playground,X257,Mount Hope Playground,COVID-19 Closure,POINT (-73.90943943807447 40.85029833371388),"10,931",6,5,29,29
X,Temporary Fencing,04/13/2020 01:33:19 PM,Exercise Equipment,X041,Pulaski Park,X041,Pulaski Park,COVID-19 Closure,POINT (-73.92456568539204 40.80524231319071),"10,932",49,5,35,23
Q,Temporary Fencing,04/11/2020 07:01:26 PM,Exercise Equipment,Q106,Daniel M. O'Connell Playground,Q106,Daniel M. O'Connell Playground,COVID-19 Closure,POINT (-73.75809728732561 40.699867812350114),"15,312",41,3,6,71
B,,04/09/2020 03:15:34 PM,Exercise Equipment,B060-01,McKinley Park,B060,McKinley Park Playground,Active,POINT (-74.01686079218794 40.62638893275471),"13,511",10,2,44,41
Q,Completely Locked,04/11/2020 06:17:55 PM,Exercise Equipment,Q099-01,Flushing Meadows Corona Park,Q099,World's Fair Playground,COVID-19 Closure,POINT (-73.84590168935051 40.737521484536124),"14,786",40,3,28,70
M,Completely Locked,04/10/2020 11:56:13 AM,Exercise Equipment,M064,Lillian D Wald Playground,M064,Lillian D Wald Playground,COVID-19 Closure,POINT (-73.98436372971324 40.71204164572226),"11,723",70,4,32,4
B,Completely Locked,04/10/2020 11:36:06 AM,Exercise Equipment,B055,Sternberg Park,B055,Sternberg Park,COVID-19 Closure,POINT (-73.94724412443163 40.70622664370648),"17,213",36,2,30,56
Q,Temporary Fencing,04/11/2020 07:06:51 PM,Exercise Equipment,Q134,Breininger Park,Q134,Breininger Park,COVID-19 Closure,POINT (-73.72897475587081 40.725827895761014),"24,335",63,3,16,63
Q,Temporary Fencing,04/12/2020 05:18:58 PM,Exercise Equipment,Q448-ZN03,Roy Wilkins Recreation Center,Q448,Roy Wilkins Rec Center Zone 3,COVID-19 Closure,POINT (-73.77385916183722 40.68816534920979),"24,669",41,3,6,71
B,Completely Locked,04/10/2020 05:00:20 PM,Exercise Equipment,B380,Robert E. Venable Park,B380,Robert E. Venable Park,COVID-19 Closure,POINT (-73.86522898889854 40.67442236557769),"17,215",45,2,25,47
B,Completely Locked,04/10/2020 05:01:31 PM,Exercise Equipment,B110,Marion Hopkinson Playground,B110,Marion Hopkinson Playground,COVID-19 Closure,POINT (-73.91331971321605 40.681781155300754),"13,516",55,2,17,46
Q,Temporary Fencing,04/12/2020 05:32:17 PM,Exercise Equipment,Q051,St. Albans Park,Q051,St. Albans Park,COVID-19 Closure,POINT (-73.77931569080786 40.69304017537922),"24,669",41,3,6,71
M,Completely Locked,04/09/2020 03:22:58 PM,Exercise Equipment,M184,Samuel N. Bennerson 2nd Playground,M184,Samuel N. Bennerson 2nd Playground,COVID-19 Closure,POINT (-73.98695384493311 40.77382394258038),"12,420",20,4,19,12
B,Blocked with Barricade,04/10/2020 05:01:06 PM,Exercise Equipment,B008-03,Betsy Head Park,B008,Imagination Playground at Betsy Head,COVID-19 Closure,POINT (-73.91182793479264 40.66451174662288),"17,614",55,2,17,46
M,Temporary Fencing,04/13/2020 01:17:18 PM,Exercise Equipment,M111,James Weldon Johnson Playground,M111,James Weldon Johnson Playground,COVID-19 Closure,POINT (-73.94185672170153 40.7971783560792),"12,426",7,4,35,14
M,,04/15/2020 04:31:07 PM,Exercise Equipment,M099,J. Hood Wright Park,M099,J. Hood Wright Park,Active,POINT (-73.9409453399472 40.84635575138851),"13,091",47,4,39,21
Q,Completely Locked,04/11/2020 07:22:56 PM,Exercise Equipment,Q314,Fresh Meadows Playground,Q314,Fresh Meadows Playground,COVID-19 Closure,POINT (-73.79618385636533 40.73411680762906),"14,507",25,3,24,65
B,,04/09/2020 03:15:34 PM,Exercise Equipment,B275,Grady Playground,B275,Grady Playground,Active,POINT (-73.96471236516003 40.58305310479648),"13,826",21,2,15,35
X,Temporary Fencing,04/17/2020 12:35:55 PM,Exercise Equipment,X080-03,Henry Hudson Park,X080,Henry Hudson Playground (West),COVID-19 Closure,POINT (-73.92043903890712 40.88118467901039),"11,272",48,5,40,33
B,,04/09/2020 03:15:34 PM,Exercise Equipment,B295,Oxport Playground,B295,Oxport Playground,Active,POINT (-73.97624385732473 40.69760448528043),"17,212",68,2,48,55
B,Completely Locked,04/17/2020 10:39:44 AM,Exercise Equipment,B058-ZN02,McCarren Park,B058,McCarren Park Zone 2,COVID-19 Closure,POINT (-73.95139123902742 40.72002512270835),"17,613",36,2,38,57
