Borough,ClosureType,EditDate,FeatureType,PropID,PropName,PropNum,SiteName,Status,point,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
B,Completely Locked,04/10/2020 12:27:25 PM,Exercise Equipment,B294,Jackie Robinson Park Playground,B294,Jackie Robinson Park Playground,COVID-19 Closure,POINT (-73.92781171578808 40.68021202010892),"13,516",69,2,49,52
B,Completely Locked,04/10/2020 03:58:34 PM,Exercise Equipment,B100,Seth Low Playground/ Bealin Square,B100,Seth Low Playground/ Bealin Square,COVID-19 Closure,POINT (-73.98636238213687 40.60813843938594),"16,867",1,2,18,37
Q,Completely Locked,04/11/2020 06:49:16 PM,Exercise Equipment,Q421,Walter Ward Playground,Q421,Walter Ward Playground,COVID-19 Closure,POINT (-73.84369011434538 40.65742268152679),"15,314",62,3,41,64
Q,Completely Locked,04/11/2020 06:09:45 PM,Exercise Equipment,Q474,Simeone Park,Q474,Simeone Park,COVID-19 Closure,POINT (-73.85992361032712 40.740979531381065),"14,510",66,3,21,68
B,,04/09/2020 03:15:34 PM,Exercise Equipment,B223R,Jaime Campiz Playground,B223R,Jaime Campiz Playground,Active,POINT (-73.95437736789306 40.7135425377962),"17,613",36,2,30,56
Q,,04/09/2020 03:18:23 PM,Exercise Equipment,Q162H,Beach 30th Street Playground,Q162H,Beach 30th Street Playground,Active,POINT (-73.762489336517 40.592460653719186),"20,529",51,3,47,59
Q,,04/11/2020 07:26:20 PM,Exercise Equipment,Q024-ZN04,Kissena Park,Q024,Kissena Park Zone 4,Active,POINT (-73.80964169426333 40.74366696799823),"14,507",22,3,3,67
Q,Completely Locked,04/11/2020 06:21:29 PM,Exercise Equipment,Q002,Grover Cleveland Playground,Q002,Grover Cleveland Playground,COVID-19 Closure,POINT (-73.91114489160016 40.710899665887816),"15,310",54,3,30,62
Q,Temporary Fencing,04/11/2020 07:24:40 PM,Exercise Equipment,Q220G,Hoover - Manton Playgrounds,Q220G,Hoover - Manton Playgrounds,COVID-19 Closure,POINT (-73.82123043186971 40.711472465230855),"24,670",25,3,24,65
B,,04/09/2020 03:15:34 PM,Exercise Equipment,B052-03,Leif Ericson Park,B052,Leif Ericson Park Playground,Active,POINT (-74.01190423157917 40.630818264303834),"18,180",10,2,44,41
B,,04/09/2020 03:15:34 PM,Exercise Equipment,B016,Maria Hernandez Park,B016,Maria Hernandez Park,Active,POINT (-73.92386340065151 40.703171443271685),"13,828",42,2,30,53
Q,Completely Locked,04/11/2020 06:19:33 PM,Exercise Equipment,Q102-03,Juniper Valley Park,Q102,Juniper South Playground,COVID-19 Closure,POINT (-73.88290170159917 40.71840947599781),"15,309",54,3,34,62
