id,propname,subpropname
1275,Bronx Park,Bronx River Parkway East (North Half)
1276,Millbrook Playground,Millbrook Playground
1277,Jackie Robinson Park Playground,Jackie Robinson Park Playground
1278,Seth Low Playground/ Bealin Square,Seth Low Playground/ Bealin Square
1279,Walter Ward Playground,Walter Ward Playground
1280,Simeone Park,Simeone Park
1281,Jaime Campiz Playground,Jaime Campiz Playground
1282,Beach 30th Street Playground,Beach 30th Street Playground
1283,Kissena Park,Kissena Park Zone 4
1284,Grover Cleveland Playground,Grover Cleveland Playground
1285,Hoover - Manton Playgrounds,Hoover - Manton Playgrounds
1286,Leif Ericson Park,Leif Ericson Park Playground
1287,Maria Hernandez Park,Maria Hernandez Park
1288,Juniper Valley Park,Juniper South Playground
