place_id,location,accesslvl,rules
94,"Columbia St., Hicks St. bet. Congress St. and Atlantic Ave.",0,Adults Allowed
95,Prospect Ave. bet. N/B Cross Bronx Exwy. and Fairmount Pl.,0,Unknown
96,Wortman Ave. between Vermont St. and New Jersey Ave.,4,Adults Allowed
97,W 189 St &  Amsterdam Ave,4,Adults Allowed
98,New Jersey Ave. between Blake Ave. and Dumont Ave.,0,Unknown
99,121 Ave. bet. 235 St. and 237 St.,4,Adults Allowed
100,Halsey St. bet. Howard Ave. and Saratoga Ave.,3,Adults not allowed in some locations
101,Hicks St. bet. Woodhull St. and Rapelye St.,4,Adults Allowed
102,Mill Rd. to Weed Ave. bet. Tysens La. and Isernia Ave.,0,Adults Allowed
103,Clove Rd & Cheshire Pl,3,Adults not allowed in some locations
104,Murray St. bet. Barclay Ave. and Sanford Ave.,4,Adults Allowed
105,"York Ave, E 91 St, E 92 St",0,Adults not allowed in some locations
106,Central Ave. bet. 70 St. and 71 St.,4,Adults Allowed
107,Mercer St. bet. Houston St. and W. 4 St.,0,Unknown
108,Not Specified,0,Unknown
109,"Washington Sq N, Washington Sq E",2,Adults not allowed in some locations
110,Hylan Blvd. bet. Joline Ave. and Sprague Ave.,4,Adults not allowed in some locations
111,"Jewel Ave., 71 Ave. bet. 163 St. and 164 St.",4,Adults Allowed
112,"Mohegan Ave., Crotona Pkwy., E. 179 St.",0,Adults not allowed in some locations
113,"Jackson St, Cherry St, FDR Drive",4,Adults Allowed
114,Not Specified,0,Unknown
115,"Szold Pl., E. 10 St., Ave. D",4,Adults Allowed
116,"VC Park South, Gouverneur Ave",3,Adults Allowed
117,"W 162 St, E/o Riverside Dr",4,Adults Allowed
118,Glenwood Rd. between E. 100 St. and E. 101 St.,4,Adults Allowed
119,"55 Dr., 64 St., Hull Ave.",0,Adults Allowed
120,N. Conduit Ave. bet. Lefferts Blvd. and 122 St.,0,Unknown
121,Mathews Ave. bet. Morris Park Ave. and Rhinelander Ave.,4,Adults Allowed
