place_id,propname,subpropname,primarysport,fieldnumber,netsremoved,surfacetype
1460,Linden Park,Linden Park,Tennis,2,1,Asphalt
1461,Linden Park,Linden Park,Tennis,7,1,Asphalt
1462,Linden Park,Linden Park,Tennis,1,1,Asphalt
1463,Leif Ericson Park,Leif Ericson Park,Tennis,4,1,Asphalt
1464,Leif Ericson Park,Leif Ericson Park,Tennis,7,1,Asphalt
1465,Leif Ericson Park,Leif Ericson Park,Tennis,6,1,Asphalt
1466,Leif Ericson Park,Leif Ericson Park,Tennis,5,1,Asphalt
1467,Juniper Valley Park,Juniper North Playground Tennis,Tennis,4,1,Asphalt
1468,Juniper Valley Park,Juniper North Playground Tennis,Tennis,5,1,Asphalt
1469,Juniper Valley Park,Juniper North Playground Tennis,Tennis,2,1,Asphalt
1470,Juniper Valley Park,Juniper North Playground Tennis,Tennis,3,1,Asphalt
1471,Springfield Park,Springfield Playground,Tennis,1,1,Asphalt
1472,Baisley Pond Park,Baisley Pond Park,Tennis,3,1,Asphalt
1473,Baisley Pond Park,Baisley Pond Park,Tennis,1,1,Asphalt
1474,Rockaway Community Park,Rockaway Community Playground,Tennis,2,1,Asphalt
1475,Rockaway Community Park,Rockaway Community Playground,Tennis,1,1,Asphalt
1476,Silver Lake Park,Silver Lake Park Playground,Tennis,2,1,Asphalt
1477,Blood Root Valley,Greenbelt Recreation Center Playground,Tennis,2,1,Hard Top
1478,Leif Ericson Park,Leif Ericson Park,Tennis,1,1,Asphalt
1479,Leif Ericson Park,Leif Ericson Park,Tennis,2,1,Asphalt
1480,Juniper Valley Park,Juniper North Playground Tennis,Tennis,8,1,Asphalt
1481,Springfield Park,Springfield Playground,Tennis,2,1,Asphalt
1482,Roy Wilkins Recreation Center,Roy Wilkins Park Playground,Tennis,3,1,Asphalt
1483,Leif Ericson Park,Leif Ericson Park,Tennis,3,1,Asphalt
1484,Columbus Park,N/A,Soccer,1,1,Synthetic
1485,Blood Root Valley,Greenbelt Recreation Center Playground,Soccer,1,0,Synthetic
1486,Harlem River Park,Harlem River Park,Soccer,1,0,Synthetic
1487,Queens Farm Park,Creedmoor Soccer Fields,Soccer,2,0,Natural
1488,Macombs Dam Park,Macombs Dam Park Zone 1 Upper,Soccer,1,0,Synthetic
1489,Sara D. Roosevelt Park,N/A,Soccer,3,1,Synthetic
1490,Givan Square,Angelo Campanaro Plgd,Soccer,1,0,Asphalt
1491,Queens Farm Park,Creedmoor Soccer Fields,Soccer,1,0,Natural
1492,Morningside Park,Playground 123,Hockey,1,0,Asphalt
1493,Rockaway Beach Boardwalk,Rockaway Beach 07b,Hockey,1,0,Asphalt
1494,Kissena Corridor Park,Underhill Playground,Hockey,1,0,Asphalt
1495,Marine Park,Lenape Playground,Handball,12,0,Asphalt
1496,Kissena Corridor Park,Underhill Playground,Handball,3,0,Asphalt
1497,Dr. Charles R. Drew Park,N/A,Handball,5,0,Asphalt
1498,Detective Keith L Williams Park,K.l. Williams Playground (Tennis),Handball,4,0,Asphalt
1499,Bayswater Park,Bayswater Playground,Handball,6,0,Asphalt
1500,Merriam Playground,Merriam Plgd (Lower),Handball,2,0,Asphalt
1501,Soundview Park,Soundview Park,Handball,1,0,Asphalt
1502,Breukelen Ballfields,Breukelen Plgd,Handball,5,0,Asphalt
1503,Thomas Jefferson Park,Thomas Jefferson Park Playground,Handball,1,0,Asphalt
1504,St. Nicholas Park,St Nicholas,Handball,2,0,Asphalt
1505,St. Nicholas Park,St Nicholas,Handball,4,0,Asphalt
1506,Thomas Jefferson Park,Thomas Jefferson Park Playground,Handball,3,0,Asphalt
1507,Baisley Pond Park,Baisley Park South,Handball,7,0,Asphalt
1508,Juniper Valley Park,Juniper North Playground Tennis,Handball,9,0,Asphalt
1509,Harlem River Park,Each One Teach One,Handball,6,0,Asphalt
1510,Harlem River Park,Each One Teach One,Handball,4,0,Asphalt
1511,Harlem River Park,Each One Teach One,Handball,2,0,Asphalt
1512,Flushing Fields,Leonardo Ingravallo Playground,Handball,4,0,Concrete
1513,Flushing Fields,Leonardo Ingravallo Playground,Handball,2,0,Concrete
1514,Flushing Fields,Leonardo Ingravallo Playground,Handball,7,0,Concrete
1515,Flushing Fields,Leonardo Ingravallo Playground,Handball,8,0,Concrete
1516,Lindower Park,Lindower Park Playground,Handball,4,0,Asphalt
1517,Macombs Dam Park,Macombs Dam Park Zone 1 Upper,Handball,2,0,Concrete
1518,Macombs Dam Park,Macombs Dam Park Zone 1 Upper,Handball,6,0,Concrete
1519,Macombs Dam Park,Macombs Dam Park Zone 1 Upper,Handball,4,0,Concrete
1520,Bayswater Park,Bayswater Playground,Handball,3,0,Asphalt
1521,Bayswater Park,Bayswater Playground,Handball,4,0,Asphalt
1522,Highbridge Park,Sunken Plgd,Handball,1,0,Asphalt
1523,Highbridge Park,Sunken Plgd,Handball,3,0,Asphalt
1524,Sara D. Roosevelt Park,Hester St Plgd,Handball,3,0,Asphalt
1525,Sara D. Roosevelt Park,Hester St Plgd,Handball,4,0,Asphalt
1526,Brookville Park,Brookville Playground,Handball,2,0,Asphalt
1527,Detective Keith L Williams Park,K.l. Williams Playground (Tennis),Handball,3,0,Asphalt
1528,Rufus King Park,Rufus King Park Playground,Handball,1,0,Asphalt
1529,Detective Keith L Williams Park,K.l. Williams Playground (Tennis),Handball,1,0,Asphalt
1530,Roy Wilkins Recreation Center,Roy Wilkins Park Playground,Handball,4,0,Concrete
1531,Roy Wilkins Recreation Center,Roy Wilkins Park Playground,Handball,2,0,Concrete
1532,Roy Wilkins Recreation Center,Roy Wilkins Park Playground,Handball,1,0,Concrete
1533,Alley Pond Park,Horatio Playground,Handball,4,0,Asphalt
1534,Alley Pond Park,Wild Flower Meadow Playground,Handball,6,0,Asphalt
1535,Kissena Corridor Park,Underhill Playground,Handball,4,0,Asphalt
1536,Kissena Park,Four Winds Playground,Handball,3,1,Asphalt
1537,Kissena Park,Four Winds Playground,Handball,4,1,Asphalt
1538,Kissena Corridor Park,Rachel Carson Playground,Handball,4,1,Asphalt
1539,Juniper Valley Park,Juniper North Playground Tennis,Handball,10,0,Asphalt
1540,Juniper Valley Park,Juniper North Playground Tennis,Handball,7,0,Asphalt
1541,Juniper Valley Park,Juniper North Playground Tennis,Handball,5,0,Asphalt
1542,Juniper Valley Park,Juniper North Playground Tennis,Handball,6,0,Asphalt
1543,Baisley Pond Park,Baisley Pond Park,Handball,13,0,Asphalt
1544,Lindower Park,Lindower Park Playground,Handball,3,0,Asphalt
1545,Inwood Hill Park,Emerson Plgd,Handball,3,0,Asphalt
1546,Inwood Hill Park,Emerson Plgd,Handball,4,0,Asphalt
1547,Forest Park,Sobelsohn Park,Handball,1,0,Asphalt
1548,Juniper Valley Park,Juniper North Playground Tennis,Handball,8,0,Asphalt
1549,Marine Park,Dr John's Plgd,Handball,5,0,Asphalt
