name,type,Borough,EditDate,latitude,longitude,Status,ClosureType
Mariner's Gate Plgd,pg,M,2020-05-21 11:07:04,40.78406021476048,-73.9696490742052,COVID-19 Closure,Completely Locked
Playland Playground,pg,R,2020-05-21 11:10:35,40.58891429251966,-74.06752237610642,COVID-19 Closure,Completely Locked
Herman Dolgon Playground,pg,B,2020-05-21 11:06:18,40.59817760643549,-73.93949161638577,COVID-19 Closure,Completely Locked
Rockaway Beach Playground,pg,Q,2020-05-21 11:08:34,40.586385582945695,-73.80184216548952,COVID-19 Closure,Completely Locked
Behagen Playground,pg,X,2020-05-21 11:09:59,40.82534206980978,-73.90119104664835,COVID-19 Closure,Partially Locked
Ben Abrams Playground,pg,X,2020-05-21 11:09:31,40.854486519922034,-73.8701593339941,COVID-19 Closure,Not Lockable
Bloomingdale Playground,pg,R,2020-05-21 11:09:27,40.53517448172024,-74.20878845419341,COVID-19 Closure,Completely Locked
P.S. 125 Playground,pg,B,2020-05-21 11:06:16,40.66513125352902,-73.90926429519091,COVID-19 Closure,Completely Locked
Hallets Cove Playground (area A),pg,Q,2020-05-21 11:08:37,40.77182038823631,-73.93444767124964,COVID-19 Closure,Completely Locked
Tompkins Square Park,pg,M,2020-05-21 11:07:23,40.726789086147285,-73.98254826473557,COVID-19 Closure,Completely Locked
Playground,pg,Q,2020-05-21 11:08:08,40.748674361455166,-73.80313965720343,COVID-19 Closure,Completely Locked
Sidney Hillman Playground,pg,M,2020-05-21 11:07:38,40.71533931838738,-73.97956722618575,COVID-19 Closure,Completely Locked
Naples Playground,pg,R,2020-05-21 11:09:24,40.60218552952066,-74.09065717313047,COVID-19 Closure,Completely Locked
Governor Smith Playground,pg,X,2020-05-21 11:10:28,40.81947761618834,-73.92061176844224,COVID-19 Closure,Completely Locked
Strong Street Plgd,pg,X,2020-05-21 11:09:39,40.87142546640345,-73.8981487856322,COVID-19 Closure,Not Lockable
Holcombe Rucker Park,pg,M,2020-05-21 11:07:43,40.8291454522946,-73.93664890621761,COVID-19 Closure,Partially Locked
Pat Parlato Plgd,pg,B,2020-05-21 11:06:22,40.57704542392992,-73.94673389881325,COVID-19 Closure,Completely Locked
Van Nest Park,pg,X,2020-05-21 11:10:35,40.84348224175955,-73.86584165949307,COVID-19 Closure,Completely Locked
Willow Lake Playground,pg,Q,2020-05-21 11:08:54,40.72248846456838,-73.83696798620232,COVID-19 Closure,Completely Locked
Telephone Playground,pg,Q,2020-05-21 11:08:54,40.73864316497183,-73.7564904706052,COVID-19 Closure,Completely Locked
Half-Nelson Playground,pg,X,2020-05-21 11:10:14,40.84659447534996,-73.91946044960264,COVID-19 Closure,Completely Locked
Poppenhusen Playground,pg,Q,2020-05-21 11:08:01,40.7813709014247,-73.84453372588767,COVID-19 Closure,Not Lockable
