name,type,Borough,EditDate,latitude,longitude,Status,ClosureType
Forest Park Dog Run,dr,Q,2020-04-09 02:17:14,40.696735851507086,-73.8604102183102,COVID-19 Closure,Completely Locked
Washington Square Park Dog Run,dr,M,2020-04-09 01:14:18,40.73065681075564,-73.99847344594404,COVID-19 Closure,Completely Locked
Tompkins Square Park Dog Run,dr,M,2020-04-09 01:19:03,40.72652180161731,-73.98126588244081,COVID-19 Closure,Completely Locked
Cunningham Park Dog Run,dr,Q,2020-04-09 02:15:13,40.72662943657504,-73.77551496502007,COVID-19 Closure,Completely Locked
Union Square Park Dog Run,dr,M,2020-04-09 01:13:26,40.735562435502395,-73.99095371077556,COVID-19 Closure,Completely Locked
Thomas Jefferson Park Dog Run,dr,M,2020-04-09 01:38:57,40.79219668482203,-73.93510530666052,COVID-19 Closure,Completely Locked
Theodore Roosevelt Park Dog Run,dr,M,2020-04-09 03:55:27,40.78215130961673,-73.9737195871235,COVID-19 Closure,Completely Locked
Riverside Park Dog Run (72nd St),dr,M,2020-04-09 01:40:49,40.78123658481443,-73.98656725987539,COVID-19 Closure,Completely Locked
Riverside Park Dog Run (87th St),dr,M,2020-04-09 01:40:49,40.79029919407129,-73.98061420277405,COVID-19 Closure,Completely Locked
Morningside Park Dog Run,dr,M,2020-04-09 11:49:13,40.80461966116252,-73.9592739008328,COVID-19 Closure,Completely Locked
St. Nicholas Park Dog Run,dr,M,2020-04-09 12:32:18,40.817936221723,-73.94890327067455,COVID-19 Closure,Completely Locked
Robert Moses Playground Dog Run,dr,M,2020-04-09 01:44:47,40.748276206281965,-73.96902192283073,COVID-19 Closure,Completely Locked
Marcus Garvey Park Dog Run,dr,M,2020-04-09 01:38:25,40.802978200980846,-73.94313929225956,COVID-19 Closure,Completely Locked
Madison Square Park Dog Run,dr,M,2020-04-09 01:37:40,40.742424348949086,-73.98850011131529,COVID-19 Closure,Completely Locked
