name,type,borough,editdate,latitude,longitude,status,closuretype
Handball-07,af,M,2020-04-08 13:28:00,40.83767402474176,-73.94872592436313,COVID-19 Closure,Fully Locked
Handball-05,af,M,2020-04-08 13:28:00,40.8375338930966,-73.9487671466617,COVID-19 Closure,Fully Locked
Handball-06,af,M,2020-04-08 13:28:00,40.837610747154386,-73.94874480646143,COVID-19 Closure,Fully Locked
Handball-14,af,X,2020-04-22 12:18:00,40.86914824923071,-73.79231111537274,COVID-19 Closure,Fully Locked
Handball-21,af,X,2020-04-06 13:21:00,40.869390581942866,-73.79186546445393,COVID-19 Closure,Fully Locked
Handball-19,af,X,2020-04-06 13:21:00,40.869443565976894,-73.79216515014014,COVID-19 Closure,Fully Locked
Handball-24,af,X,2020-04-06 13:21:00,40.86958022316915,-73.79212041443851,COVID-19 Closure,Fully Locked
Handball-23,af,X,2020-04-06 13:21:00,40.869531365958956,-73.79205365180019,COVID-19 Closure,Fully Locked
Handball-18,af,X,2020-04-06 13:21:00,40.86935411018428,-73.79204353617381,COVID-19 Closure,Fully Locked
Handball-15,af,Q,2020-04-05 22:46:00,40.58581633048039,-73.80749890457349,COVID-19 Closure,Blocked with Barricade
Handball-05,af,Q,2020-04-05 22:46:00,40.586218388646934,-73.8035774130153,COVID-19 Closure,Blocked with Barricade
Handball-08,af,Q,2020-04-05 22:46:00,40.586307386411534,-73.80336653500511,COVID-19 Closure,Blocked with Barricade
Handball-09,af,Q,2020-04-05 22:46:00,40.58599688752084,-73.80661888779595,COVID-19 Closure,Blocked with Barricade
Handball-11,af,Q,2020-04-05 22:46:00,40.586007703346354,-73.80644687399162,COVID-19 Closure,Blocked with Barricade
Handball-13,af,Q,2020-04-05 22:46:00,40.58575775326182,-73.80766516865096,COVID-19 Closure,Blocked with Barricade
Handball-14,af,Q,2020-04-05 22:46:00,40.58584074528499,-73.80767589066134,COVID-19 Closure,Blocked with Barricade
Handball-04,af,Q,2020-04-05 22:46:00,40.58635381051699,-73.8027667452625,COVID-19 Closure,Blocked with Barricade
Handball-06,af,Q,2020-04-05 22:46:00,40.58629570731708,-73.80354722055222,COVID-19 Closure,Blocked with Barricade
Handball-01,af,X,2020-04-07 15:58:00,40.862428045942295,-73.90419144339239,COVID-19 Closure,Fully Locked
Handball-04,af,X,2020-04-07 15:58:00,40.86210425060464,-73.90447631136912,COVID-19 Closure,Fully Locked
Handball-06,af,X,2020-04-07 15:58:00,40.861808396582816,-73.90473694521862,COVID-19 Closure,Fully Locked
Handball-11,af,Q,2020-04-05 12:30:00,40.7007212676409,-73.85293262552884,COVID-19 Closure,Temporary Fencing
North Meadow-Handball-09,af,M,2020-04-08 14:03:00,40.79147485670875,-73.95966625620291,COVID-19 Closure,Fully Locked
North Meadow-Handball-11,af,M,2020-04-08 14:03:00,40.791421962045625,-73.95983648673253,COVID-19 Closure,Fully Locked
North Meadow-Handball-04,af,M,2020-04-08 14:03:00,40.79131031730811,-73.95947487915144,COVID-19 Closure,Fully Locked
North Meadow-Handball-10,af,M,2020-04-08 14:03:00,40.791357667879225,-73.95984822558559,COVID-19 Closure,Fully Locked
North Meadow-Handball-12,af,M,2020-04-08 14:03:00,40.791491111599775,-73.95982340250043,COVID-19 Closure,Fully Locked
North Meadow-Handball-08,af,M,2020-04-08 14:03:00,40.791404190654994,-73.95967860928016,COVID-19 Closure,Fully Locked
North Meadow-Handball-02,af,M,2020-04-08 14:03:00,40.79136173917028,-73.95930071205746,COVID-19 Closure,Fully Locked
North Meadow-Handball-06,af,M,2020-04-08 14:03:00,40.791450479664185,-73.95944823962293,COVID-19 Closure,Fully Locked
North Meadow-Handball-05,af,M,2020-04-08 14:03:00,40.791379643439114,-73.95946110843579,COVID-19 Closure,Fully Locked
