name,type,Borough,EditDate,latitude,longitude,Status,ClosureType
Callahan-Kelly Playground Exercise Equipment,ee,B,2020-04-10 05:02:28,40.678359753394396,-73.90531416915717,COVID-19 Closure,Blocked with Barricade
Big Bush Playground Exercise Equipment,ee,Q,2020-04-11 05:46:30,40.7396080387653,-73.90262797225797,COVID-19 Closure,Completely Locked
DiGilio Playground Exercise Equipment,ee,B,2020-04-09 03:15:34,40.632628660086475,-73.9771308362306,Active,N/A
Brizzi Playground Exercise Equipment,ee,B,2020-04-09 03:15:34,40.64241752988835,-73.99464872731261,Active,N/A
Sumner Playground Exercise Equipment,ee,B,2020-04-10 12:01:46,40.69727573052556,-73.94275920794006,COVID-19 Closure,Completely Locked
210 St Playground Exercise Equipment,ee,Q,2020-04-11 07:21:56,40.73925387400779,-73.76533876072492,COVID-19 Closure,Temporary Fencing
Cooper Park Exercise Equipment,ee,B,2020-04-09 03:15:34,40.71585257942295,-73.93724000264929,Active,N/A
Rachel Carson Playground Exercise Equipment,ee,Q,2020-04-11 07:27:03,40.749125525041045,-73.82235858041797,COVID-19 Closure,Temporary Fencing
Moore Homestead Playground Exercise Equipment,ee,Q,2020-04-13 09:15:26,40.742141940089475,-73.88239704521078,Active,N/A
Mount Hope Playground Exercise Equipment,ee,X,2020-04-10 02:14:10,40.85029833371388,-73.90943943807447,COVID-19 Closure,Completely Locked
Pulaski Park Exercise Equipment,ee,X,2020-04-13 01:33:19,40.80524231319071,-73.92456568539204,COVID-19 Closure,Temporary Fencing
Daniel M. O'Connell Playground Exercise Equipment,ee,Q,2020-04-11 07:01:26,40.699867812350114,-73.75809728732561,COVID-19 Closure,Temporary Fencing
McKinley Park Playground Exercise Equipment,ee,B,2020-04-09 03:15:34,40.62638893275471,-74.01686079218794,Active,N/A
World's Fair Playground Exercise Equipment,ee,Q,2020-04-11 06:17:55,40.737521484536124,-73.84590168935051,COVID-19 Closure,Completely Locked
Lillian D Wald Playground Exercise Equipment,ee,M,2020-04-10 11:56:13,40.71204164572226,-73.98436372971324,COVID-19 Closure,Completely Locked
Sternberg Park Exercise Equipment,ee,B,2020-04-10 11:36:06,40.70622664370648,-73.94724412443163,COVID-19 Closure,Completely Locked
Breininger Park Exercise Equipment,ee,Q,2020-04-11 07:06:51,40.725827895761014,-73.72897475587081,COVID-19 Closure,Temporary Fencing
Roy Wilkins Rec Center Zone 3 Exercise Equipment,ee,Q,2020-04-12 05:18:58,40.68816534920979,-73.77385916183722,COVID-19 Closure,Temporary Fencing
Robert E. Venable Park Exercise Equipment,ee,B,2020-04-10 05:00:20,40.67442236557769,-73.86522898889854,COVID-19 Closure,Completely Locked
Marion Hopkinson Playground Exercise Equipment,ee,B,2020-04-10 05:01:31,40.681781155300754,-73.91331971321605,COVID-19 Closure,Completely Locked
St. Albans Park Exercise Equipment,ee,Q,2020-04-12 05:32:17,40.69304017537922,-73.77931569080786,COVID-19 Closure,Temporary Fencing
Samuel N. Bennerson 2nd Playground Exercise Equipment,ee,M,2020-04-09 03:22:58,40.77382394258038,-73.98695384493311,COVID-19 Closure,Completely Locked
Imagination Playground at Betsy Head Exercise Equipment,ee,B,2020-04-10 05:01:06,40.66451174662288,-73.91182793479264,COVID-19 Closure,Blocked with Barricade
James Weldon Johnson Playground Exercise Equipment,ee,M,2020-04-13 01:17:18,40.7971783560792,-73.94185672170153,COVID-19 Closure,Temporary Fencing
J. Hood Wright Park Exercise Equipment,ee,M,2020-04-15 04:31:07,40.84635575138851,-73.9409453399472,Active,N/A
Fresh Meadows Playground Exercise Equipment,ee,Q,2020-04-11 07:22:56,40.73411680762906,-73.79618385636533,COVID-19 Closure,Completely Locked
Grady Playground Exercise Equipment,ee,B,2020-04-09 03:15:34,40.58305310479648,-73.96471236516003,Active,N/A
Henry Hudson Playground (West) Exercise Equipment,ee,X,2020-04-17 12:35:55,40.88118467901039,-73.92043903890712,COVID-19 Closure,Temporary Fencing
